instance,algo,param_set,HV_mean,HV_std,IGD_mean,IGD_std,Spread_mean,Spread_std,Runtime_mean,Runtime_std,Evals_mean,Evals_std
L,nsga2,1,739400.0602862443,0.0,96045.68580398042,0.0,2819.3344317848987,0.0,40.24465227127075,0.0,50100.0,0.0
L,nsga2,2,807494.0724044334,0.0,93371.32200272205,0.0,394.8139599413653,0.0,20.195999145507812,0.0,24080.0,0.0
L,nsga2,3,789815.8993261532,0.0,94279.1719153766,0.0,1825.4239087195863,0.0,60.39945435523987,0.0,72120.0,0.0
L,spea2,1,733706.5412392241,0.0,97058.98636861559,0.0,3566.868510113593,0.0,62.85735011100769,0.0,50100.0,0.0
L,spea2,2,737213.9185096732,0.0,96398.47760352638,0.0,2863.3966700812994,0.0,33.97834372520447,0.0,24080.0,0.0
L,spea2,3,841914.235397638,0.0,93968.39459217784,0.0,2095.2055242978277,0.0,60.9786856174469,0.0,72120.0,0.0
M,nsga2,1,4275656.832294643,0.0,4341.657665566638,0.0,80.50687445310209,0.0,22.597230195999146,0.0,50100.0,0.0
M,nsga2,2,4289311.337754474,0.0,3885.795204968055,0.0,85.11791532763652,0.0,11.469950199127197,0.0,24080.0,0.0
M,nsga2,3,4316895.252860669,0.0,3916.1747778882154,0.0,98.39164915525292,0.0,34.3619065284729,0.0,72120.0,0.0
M,spea2,1,4313839.0327989925,0.0,4167.464262435333,0.0,91.38580158976514,0.0,19.76590347290039,0.0,50100.0,0.0
M,spea2,2,4257911.2906336095,0.0,3971.062428670006,0.0,63.42931790846931,0.0,10.498528718948364,0.0,24080.0,0.0
M,spea2,3,4319614.615455577,0.0,3644.503401047594,0.0,44.966156119289934,0.0,29.95136857032776,0.0,72120.0,0.0
S,nsga2,1,4650250.132032532,0.0,179.97725210343845,0.0,250.41086592143805,0.0,12.633232593536377,0.0,50100.0,0.0
S,nsga2,2,4654441.851046309,0.0,92.58306623287093,0.0,6.883922867529715,0.0,6.136921167373657,0.0,24080.0,0.0
S,nsga2,3,4576680.399215242,0.0,130.39474650157675,0.0,77.61096515544371,0.0,19.287917137145996,0.0,72120.0,0.0
S,spea2,1,4530044.213790595,0.0,197.59619949323857,0.0,46.75156628010185,0.0,9.856172800064087,0.0,50100.0,0.0
S,spea2,2,4521403.708644531,0.0,84.04770523624944,0.0,8.25612159465263,0.0,5.157265663146973,0.0,24080.0,0.0
S,spea2,3,4564464.472776069,0.0,119.45646910987415,0.0,165.81831248505034,0.0,14.765085458755493,0.0,72120.0,0.0
